transaction_id,date,supplier_id,supplier_name,country,payment_terms_days,delivery_days,price_usd,quality_rating,incoterms,shipping_included,express_available,order_urgency,budget_available,product_name,product_type,quantity_needed,total_estimated_cost,within_budget,quality_acceptable,value_score,month,quarter,selected,selection_reason
15,2022-01-20,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,2708.97,4.0,EXW,False,True,Medium,12630.06,Rollo Tejido 1.80x200m,filter_cloth_roll,2,5806.6,True,True,52.91,1,Q1,True,High Quality
16,2022-01-27,5,Ritherm,Perú,30,7,15.3,4.5,EXW LIMA,False,True,Medium,589.05,RIT-MP-100,pressure_sensor_analog,3,45.91,True,True,89.85,1,Q1,True,Local Supplier
17,2022-01-24,3,GWI GROUP LIMITED,China,0,28,84.41,3.5,CIF LIMA,True,True,Low,6477.92,Válvula Bola 50mm,valve_ball,9,759.68,True,True,69.16,1,Q1,True,Reliable Supplier
18,2022-01-16,5,Ritherm,Perú,30,7,15.48,4.5,EXW LIMA,False,True,Critical,933.21,RIT-MP-100,pressure_sensor_analog,10,154.8,True,True,89.85,1,Q1,True,Local Supplier
19,2022-01-30,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,441.63,4.0,EXW,False,True,Low,4093.45,Válvula Mariposa 150mm,valve_butterfly,5,2526.2,True,True,75.58,1,Q1,True,High Quality
20,2022-01-01,4,"Xiamen Borida Products Co., Ltd",China,0,22,269.19,3.0,EXW,False,False,Medium,2931.41,Válvula Mariposa 200mm,valve_butterfly,10,3228.74,False,True,57.31,1,Q1,True,Reliable Supplier
21,2022-01-08,2,TESTORI LATAM SpA,Chile/Italia,0,10,512.16,5.0,EXW ITALIA,False,False,Low,7392.34,Placa Cerámica 1000x1000,filter_plate_ceramic,18,9766.0,False,True,94.88,1,Q1,True,Premium Quality
22,2022-01-08,6,Autonics Perú,Perú,15,5,125.72,4.8,EXW LIMA,True,True,Low,1007.52,AUT-PT200,transmisor_presion,8,1005.79,True,True,94.74,1,Q1,True,Premium Quality
23,2022-01-12,2,TESTORI LATAM SpA,Chile/Italia,0,10,549.72,5.0,EXW ITALIA,False,False,Low,8733.65,Placa Cerámica 1000x1000,filter_plate_ceramic,8,4592.05,True,True,94.5,1,Q1,True,Premium Quality
24,2022-01-11,5,Ritherm,Perú,30,7,65.71,4.5,EXW LIMA,False,True,Low,529.91,RIT-MP-300D,pressure_sensor_digital,9,591.37,False,True,89.34,1,Q1,True,Local Supplier
25,2022-01-06,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,465.53,4.0,EXW,False,True,Medium,4380.35,Válvula Mariposa 150mm,valve_butterfly,2,1328.71,True,True,75.34,1,Q1,True,High Quality
26,2022-01-30,5,Ritherm,Perú,30,7,14.92,4.5,EXW LIMA,False,True,Critical,787.7,RIT-MP-100,pressure_sensor_analog,7,104.41,True,True,89.85,1,Q1,True,Local Supplier
27,2022-01-29,2,TESTORI LATAM SpA,Chile/Italia,0,10,883.08,5.0,EXW ITALIA,False,False,Critical,7904.51,Válvula Diafragma 150mm PTFE,valve_diaphragm,1,1385.91,True,True,91.17,1,Q1,True,Premium Quality
28,2022-01-14,2,TESTORI LATAM SpA,Chile/Italia,0,10,439.35,5.0,EXW ITALIA,False,False,Medium,3898.98,Placa Cerámica 1000x1000,filter_plate_ceramic,14,6327.2,False,True,95.61,1,Q1,True,Premium Quality
29,2022-01-02,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,220.19,4.0,EXW,False,True,Low,7841.78,Placa PP 1000x1000,filter_plate,8,2295.23,True,True,77.8,1,Q1,True,High Quality
30,2022-01-20,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,469.18,4.0,EXW,False,True,Low,2279.26,Válvula Mariposa 150mm,valve_butterfly,7,3545.03,False,True,75.31,1,Q1,True,High Quality
31,2022-01-17,3,GWI GROUP LIMITED,China,0,28,17.19,3.5,CIF LIMA,True,True,Low,7027.53,Filter Press Cloth 1200x1200 set,filter_press_cloth_set,36,618.68,True,True,69.83,1,Q1,True,Best Price
32,2022-01-15,3,GWI GROUP LIMITED,China,0,28,109.21,3.5,CIF LIMA,True,True,High,4478.86,Válvula Bola 50mm,valve_ball,1,109.21,True,True,68.91,1,Q1,True,Reliable Supplier
33,2022-01-04,4,"Xiamen Borida Products Co., Ltd",China,0,22,230.61,3.0,EXW,False,False,Low,3223.8,Válvula Mariposa 200mm,valve_butterfly,9,2296.44,True,True,57.69,1,Q1,True,Reliable Supplier
34,2022-01-23,4,"Xiamen Borida Products Co., Ltd",China,0,22,75.67,3.0,EXW,False,False,Low,10171.04,Placa PP 800x800,filter_plate,47,3758.64,True,True,59.24,1,Q1,True,Reliable Supplier
35,2022-01-18,4,"Xiamen Borida Products Co., Ltd",China,0,22,19.22,3.0,EXW,False,False,Low,2895.67,Filter Press Cloth 1200x1200 set,filter_press_cloth_set,87,2206.28,True,True,59.81,1,Q1,True,Best Price
36,2022-02-28,2,TESTORI LATAM SpA,Chile/Italia,0,10,902.56,5.0,EXW ITALIA,False,False,High,1786.56,Válvula Diafragma 150mm PTFE,valve_diaphragm,5,4721.69,False,True,90.97,2,Q1,True,Premium Quality
37,2022-02-06,2,TESTORI LATAM SpA,Chile/Italia,0,10,828.94,5.0,EXW ITALIA,False,False,Low,1562.85,Válvula Diafragma 150mm PTFE,valve_diaphragm,9,8007.9,False,True,91.71,2,Q1,True,Premium Quality
38,2022-02-18,3,GWI GROUP LIMITED,China,0,28,430.8,3.5,CIF LIMA,True,True,High,12840.4,PP2821 Roll 1.70x30m,filter_cloth_roll,5,2154.02,True,True,65.69,2,Q1,True,Reliable Supplier
39,2022-02-22,3,GWI GROUP LIMITED,China,0,28,105.95,3.5,CIF LIMA,True,True,High,6570.76,Válvula Bola 50mm,valve_ball,6,635.69,True,True,68.94,2,Q1,True,Reliable Supplier
40,2022-02-14,5,Ritherm,Perú,30,7,17.14,4.5,EXW LIMA,False,True,Low,1337.53,RIT-MP-100,pressure_sensor_analog,9,154.29,True,True,89.83,2,Q1,True,Local Supplier
41,2022-02-14,2,TESTORI LATAM SpA,Chile/Italia,0,10,3475.88,5.0,EXW ITALIA,False,False,High,16835.76,P9520 TC Rollo 1.80x200m,filter_cloth_roll,4,14102.16,True,True,65.24,2,Q1,True,Premium Quality
42,2022-02-08,2,TESTORI LATAM SpA,Chile/Italia,0,10,522.53,5.0,EXW ITALIA,False,False,Low,5051.91,Placa Cerámica 1000x1000,filter_plate_ceramic,27,14360.72,False,True,94.77,2,Q1,True,Premium Quality
43,2022-02-07,3,GWI GROUP LIMITED,China,0,28,16.99,3.5,CIF LIMA,True,True,Low,9702.0,Filter Press Cloth 1200x1200 set,filter_press_cloth_set,18,305.89,True,True,69.83,2,Q1,True,Best Price
44,2022-02-18,4,"Xiamen Borida Products Co., Ltd",China,0,22,73.23,3.0,EXW,False,False,High,10770.38,Placa PP 800x800,filter_plate,12,1297.16,True,True,59.27,2,Q1,True,Reliable Supplier
45,2022-02-26,3,GWI GROUP LIMITED,China,0,28,86.17,3.5,CIF LIMA,True,True,High,7346.78,Válvula Bola 50mm,valve_ball,7,603.17,True,True,69.14,2,Q1,True,Reliable Supplier
46,2022-02-02,4,"Xiamen Borida Products Co., Ltd",China,0,22,89.35,3.0,EXW,False,False,Low,11255.75,Placa PP 800x800,filter_plate,38,3709.24,True,True,59.11,2,Q1,True,Reliable Supplier
47,2022-02-22,5,Ritherm,Perú,30,7,22.18,4.5,EXW LIMA,False,True,High,1096.06,RIT-TMP-50,temperature_sensor_bimetal,12,266.22,True,True,89.78,2,Q1,True,Local Supplier
48,2022-02-17,2,TESTORI LATAM SpA,Chile/Italia,0,10,891.76,5.0,EXW ITALIA,False,False,High,4115.6,Válvula Diafragma 150mm PTFE,valve_diaphragm,6,5557.85,False,True,91.08,2,Q1,True,Premium Quality
49,2022-02-13,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,18.95,4.0,EXW,False,True,Medium,6121.95,AS-135.CA-DUPL 400X400,filter_cloth_standard,88,2192.82,True,True,79.81,2,Q1,True,Best Price
50,2022-02-07,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,2631.72,4.0,EXW,False,True,Low,11068.58,Rollo Tejido 1.80x200m,filter_cloth_roll,4,10906.91,True,True,53.68,2,Q1,True,High Quality
51,2022-02-22,2,TESTORI LATAM SpA,Chile/Italia,0,10,2911.16,5.0,EXW ITALIA,False,False,Low,17094.78,P9520 TC Rollo 1.80x200m,filter_cloth_roll,1,3072.16,True,True,70.89,2,Q1,True,Premium Quality
52,2022-02-28,6,Autonics Perú,Perú,15,5,122.72,4.8,EXW LIMA,True,True,Low,2749.5,AUT-PT200,transmisor_presion,15,1840.86,True,True,94.77,2,Q1,True,Premium Quality
53,2022-02-23,2,TESTORI LATAM SpA,Chile/Italia,0,10,502.47,5.0,EXW ITALIA,False,False,Critical,4439.84,Placa Cerámica 1000x1000,filter_plate_ceramic,30,15226.67,False,True,94.98,2,Q1,True,Premium Quality
54,2022-02-25,6,Autonics Perú,Perú,15,5,136.49,4.8,EXW LIMA,True,True,Medium,1186.95,AUT-PT200,transmisor_presion,9,1228.38,False,True,94.64,2,Q1,True,Premium Quality
55,2022-02-17,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,457.98,4.0,EXW,False,True,Low,4467.0,Válvula Mariposa 150mm,valve_butterfly,2,1366.37,True,True,75.42,2,Q1,True,High Quality
56,2022-02-20,5,Ritherm,Perú,30,7,25.36,4.5,EXW LIMA,False,True,Low,1296.68,RIT-TMP-50,temperature_sensor_bimetal,15,380.39,True,True,89.75,2,Q1,True,Local Supplier
57,2022-02-24,6,Autonics Perú,Perú,15,5,132.24,4.8,EXW LIMA,True,True,Critical,2453.91,AUT-PT200,transmisor_presion,10,1322.35,True,True,94.68,2,Q1,True,Premium Quality
58,2022-02-09,5,Ritherm,Perú,30,7,23.31,4.5,EXW LIMA,False,True,Medium,1052.1,RIT-TMP-50,temperature_sensor_bimetal,17,396.26,True,True,89.77,2,Q1,True,Local Supplier
59,2022-02-10,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,2185.43,4.0,EXW,False,True,High,18288.43,Rollo Tejido 1.80x200m,filter_cloth_roll,3,6774.17,True,True,58.15,2,Q1,True,High Quality
60,2022-02-15,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,453.99,4.0,EXW,False,True,High,4031.6,Válvula Mariposa 150mm,valve_butterfly,7,3753.69,True,True,75.46,2,Q1,True,High Quality
61,2022-02-12,2,TESTORI LATAM SpA,Chile/Italia,0,10,1016.87,5.0,EXW ITALIA,False,False,High,4998.43,Válvula Diafragma 150mm PTFE,valve_diaphragm,7,7628.04,False,True,89.83,2,Q1,True,Premium Quality
62,2022-02-16,2,TESTORI LATAM SpA,Chile/Italia,0,10,903.3,5.0,EXW ITALIA,False,False,Low,1688.66,Válvula Diafragma 150mm PTFE,valve_diaphragm,8,7681.99,False,True,90.97,2,Q1,True,Premium Quality
63,2022-02-06,5,Ritherm,Perú,30,7,14.52,4.5,EXW LIMA,False,True,Low,332.36,RIT-MP-100,pressure_sensor_analog,19,275.94,True,True,89.85,2,Q1,True,Local Supplier
64,2022-02-01,2,TESTORI LATAM SpA,Chile/Italia,0,10,859.29,5.0,EXW ITALIA,False,False,High,7134.53,Válvula Diafragma 150mm PTFE,valve_diaphragm,3,2844.95,True,True,91.41,2,Q1,True,Premium Quality
65,2022-03-11,2,TESTORI LATAM SpA,Chile/Italia,0,10,1044.6,5.0,EXW ITALIA,False,False,Low,6388.06,Válvula Diafragma 150mm PTFE,valve_diaphragm,5,5486.51,True,True,89.55,3,Q1,True,Premium Quality
66,2022-03-01,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,191.53,4.0,EXW,False,True,Medium,4242.22,Placa PP 1000x1000,filter_plate,27,5752.06,False,True,78.08,3,Q1,True,High Quality
67,2022-03-20,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,19.87,4.0,EXW,False,True,Low,7025.13,AS-135.CA-DUPL 400X400,filter_cloth_standard,70,1639.28,True,True,79.8,3,Q1,True,Best Price
68,2022-03-25,3,GWI GROUP LIMITED,China,0,28,83.83,3.5,CIF LIMA,True,True,Critical,7770.69,Válvula Bola 50mm,valve_ball,3,251.49,True,True,69.16,3,Q1,True,Reliable Supplier
69,2022-03-01,5,Ritherm,Perú,30,7,26.61,4.5,EXW LIMA,False,True,Medium,775.99,RIT-TMP-50,temperature_sensor_bimetal,14,372.58,True,True,89.73,3,Q1,True,Local Supplier
70,2022-03-23,5,Ritherm,Perú,30,7,14.11,4.5,EXW LIMA,False,True,Low,1136.63,RIT-MP-100,pressure_sensor_analog,5,70.54,True,True,89.86,3,Q1,True,Local Supplier
71,2022-03-26,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,230.66,4.0,EXW,False,True,Critical,7327.45,Placa PP 1000x1000,filter_plate,27,6408.86,True,True,77.69,3,Q1,True,High Quality
72,2022-03-14,6,Autonics Perú,Perú,15,5,128.42,4.8,EXW LIMA,True,True,Medium,1758.07,AUT-PT200,transmisor_presion,6,770.5,True,True,94.72,3,Q1,True,Premium Quality
73,2022-03-31,2,TESTORI LATAM SpA,Chile/Italia,0,10,513.27,5.0,EXW ITALIA,False,False,Low,6355.74,Placa Cerámica 1000x1000,filter_plate_ceramic,34,17721.88,False,True,94.87,3,Q1,True,Premium Quality
74,2022-03-27,6,Autonics Perú,Perú,15,5,18.6,4.8,EXW LIMA,True,True,Medium,592.64,AUT-PR12-4AO,sensor_inductivo,16,297.53,True,True,95.81,3,Q1,True,Premium Quality
75,2022-03-13,2,TESTORI LATAM SpA,Chile/Italia,0,10,438.55,5.0,EXW ITALIA,False,False,Low,3818.4,Placa Cerámica 1000x1000,filter_plate_ceramic,25,11472.66,False,True,95.61,3,Q1,True,Premium Quality
76,2022-03-29,3,GWI GROUP LIMITED,China,0,28,20.65,3.5,CIF LIMA,True,True,Critical,1091.36,Filter Press Cloth 1200x1200 set,filter_press_cloth_set,81,1672.36,False,True,69.79,3,Q1,True,Reliable Supplier
77,2022-03-25,2,TESTORI LATAM SpA,Chile/Italia,0,10,472.54,5.0,EXW ITALIA,False,False,Low,9118.42,Placa Cerámica 1000x1000,filter_plate_ceramic,46,21894.47,False,True,95.27,3,Q1,True,Premium Quality
78,2022-03-13,3,GWI GROUP LIMITED,China,0,28,18.05,3.5,CIF LIMA,True,True,Critical,6234.0,Filter Press Cloth 1200x1200 set,filter_press_cloth_set,94,1697.08,True,True,69.82,3,Q1,True,Best Price
79,2022-03-11,2,TESTORI LATAM SpA,Chile/Italia,0,10,441.2,5.0,EXW ITALIA,False,False,Medium,5066.23,Placa Cerámica 1000x1000,filter_plate_ceramic,22,10180.92,False,True,95.59,3,Q1,True,Premium Quality
80,2022-03-24,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,19.41,4.0,EXW,False,True,Low,2947.46,AS-135.CA-DUPL 400X400,filter_cloth_standard,34,1135.92,True,True,79.81,3,Q1,True,Best Price
81,2022-03-17,3,GWI GROUP LIMITED,China,0,28,91.04,3.5,CIF LIMA,True,True,Low,3425.6,Válvula Bola 50mm,valve_ball,4,364.14,True,True,69.09,3,Q1,True,Reliable Supplier
82,2022-03-10,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,16.89,4.0,EXW,False,True,Medium,1409.64,AS-135.CA-DUPL 400X400,filter_cloth_standard,45,1041.69,True,True,79.83,3,Q1,True,Best Price
83,2022-03-21,6,Autonics Perú,Perú,15,5,122.67,4.8,EXW LIMA,True,True,Low,2719.98,AUT-PT200,transmisor_presion,5,613.33,True,True,94.77,3,Q1,True,Premium Quality
84,2022-03-16,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,2314.36,4.0,EXW,False,True,Low,19447.96,Rollo Tejido 1.80x200m,filter_cloth_roll,2,5166.49,True,True,56.86,3,Q1,True,High Quality
85,2022-03-05,4,"Xiamen Borida Products Co., Ltd",China,0,22,19.64,3.0,EXW,False,False,Low,9945.26,Filter Press Cloth 1200x1200 set,filter_press_cloth_set,20,815.72,True,True,59.8,3,Q1,True,Best Price
86,2022-03-08,6,Autonics Perú,Perú,15,5,112.7,4.8,EXW LIMA,True,True,Medium,2798.71,AUT-PT200,transmisor_presion,16,1803.28,True,True,94.87,3,Q1,True,Premium Quality
87,2022-03-19,6,Autonics Perú,Perú,15,5,22.72,4.8,EXW LIMA,True,True,Medium,1045.23,AUT-PR18-5DN,sensor_inductivo,20,454.47,True,True,95.77,3,Q1,True,Premium Quality
88,2022-03-31,5,Ritherm,Perú,30,7,13.46,4.5,EXW LIMA,False,True,Medium,1092.51,RIT-MP-100,pressure_sensor_analog,10,134.57,True,True,89.87,3,Q1,True,Local Supplier
89,2022-03-03,2,TESTORI LATAM SpA,Chile/Italia,0,10,941.43,5.0,EXW ITALIA,False,False,Medium,5980.91,Válvula Diafragma 150mm PTFE,valve_diaphragm,8,7696.09,False,True,90.59,3,Q1,True,Premium Quality
90,2022-03-10,2,TESTORI LATAM SpA,Chile/Italia,0,10,541.04,5.0,EXW ITALIA,False,False,Critical,8873.85,Placa Cerámica 1000x1000,filter_plate_ceramic,9,5373.91,True,True,94.59,3,Q1,True,Premium Quality
91,2022-03-22,5,Ritherm,Perú,30,7,13.76,4.5,EXW LIMA,False,True,Low,437.73,RIT-MP-100,pressure_sensor_analog,15,206.42,True,True,89.86,3,Q1,True,Local Supplier
92,2022-03-09,5,Ritherm,Perú,30,7,61.25,4.5,EXW LIMA,False,True,Critical,499.11,RIT-MP-300D,pressure_sensor_digital,3,183.75,True,True,89.39,3,Q1,True,Local Supplier
93,2022-03-19,6,Autonics Perú,Perú,15,5,112.95,4.8,EXW LIMA,True,True,Low,1831.14,AUT-PT200,transmisor_presion,5,564.74,True,True,94.87,3,Q1,True,Premium Quality
94,2022-03-13,5,Ritherm,Perú,30,7,21.85,4.5,EXW LIMA,False,True,High,892.55,RIT-TMP-50,temperature_sensor_bimetal,19,415.21,True,True,89.78,3,Q1,True,Local Supplier
95,2022-03-14,3,GWI GROUP LIMITED,China,0,28,20.72,3.5,CIF LIMA,True,True,Medium,1821.94,Filter Press Cloth 1200x1200 set,filter_press_cloth_set,13,269.39,True,True,69.79,3,Q1,True,Best Price
96,2022-03-25,4,"Xiamen Borida Products Co., Ltd",China,0,22,18.04,3.0,EXW,False,False,Low,1362.09,Filter Press Cloth 1200x1200 set,filter_press_cloth_set,83,1940.41,False,True,59.82,3,Q1,True,Reliable Supplier
97,2022-03-06,6,Autonics Perú,Perú,15,5,118.92,4.8,EXW LIMA,True,True,Critical,2931.92,AUT-PT200,transmisor_presion,17,2021.65,True,True,94.81,3,Q1,True,Premium Quality
98,2022-03-14,3,GWI GROUP LIMITED,China,0,28,100.52,3.5,CIF LIMA,True,True,Low,3643.72,Válvula Bola 50mm,valve_ball,3,301.56,True,True,68.99,3,Q1,True,Reliable Supplier
99,2022-03-10,2,TESTORI LATAM SpA,Chile/Italia,0,10,832.6,5.0,EXW ITALIA,False,False,High,1738.53,Válvula Diafragma 150mm PTFE,valve_diaphragm,9,7756.95,False,True,91.67,3,Q1,True,Premium Quality
100,2022-03-25,4,"Xiamen Borida Products Co., Ltd",China,0,22,88.13,3.0,EXW,False,False,High,10693.67,Placa PP 800x800,filter_plate,47,4516.3,True,True,59.12,3,Q1,True,Reliable Supplier
101,2022-03-02,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,20.66,4.0,EXW,False,True,Medium,4943.04,AS-135.CA-DUPL 400X400,filter_cloth_standard,46,1154.99,True,True,79.79,3,Q1,True,Best Price
102,2022-03-20,5,Ritherm,Perú,30,7,15.24,4.5,EXW LIMA,False,True,Low,961.01,RIT-MP-100,pressure_sensor_analog,11,167.59,True,True,89.85,3,Q1,True,Local Supplier
103,2022-03-27,6,Autonics Perú,Perú,15,5,107.54,4.8,EXW LIMA,True,True,Medium,2224.96,AUT-PT200,transmisor_presion,5,537.71,True,True,94.92,3,Q1,True,Premium Quality
104,2022-03-30,4,"Xiamen Borida Products Co., Ltd",China,0,22,16.8,3.0,EXW,False,False,Low,8512.52,Filter Press Cloth 1200x1200 set,filter_press_cloth_set,63,1456.52,True,True,59.83,3,Q1,True,Best Price
105,2022-03-30,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,21.2,4.0,EXW,False,True,Low,3486.23,AS-135.CA-DUPL 400X400,filter_cloth_standard,18,718.26,True,True,79.79,3,Q1,True,Best Price
106,2022-03-17,4,"Xiamen Borida Products Co., Ltd",China,0,22,94.31,3.0,EXW,False,False,Medium,9260.51,Placa PP 800x800,filter_plate,23,2520.17,True,True,59.06,3,Q1,True,Reliable Supplier
107,2022-04-18,6,Autonics Perú,Perú,15,5,133.31,4.8,EXW LIMA,True,True,Medium,2852.27,AUT-PT200,transmisor_presion,16,2132.89,True,True,94.67,4,Q2,True,Premium Quality
108,2022-04-23,2,TESTORI LATAM SpA,Chile/Italia,0,10,924.57,5.0,EXW ITALIA,False,False,High,7064.08,Válvula Diafragma 150mm PTFE,valve_diaphragm,4,3991.46,True,True,90.75,4,Q2,True,Premium Quality
109,2022-04-30,6,Autonics Perú,Perú,15,5,103.33,4.8,EXW LIMA,True,True,Low,1889.72,AUT-PT200,transmisor_presion,6,620.0,True,True,94.97,4,Q2,True,Premium Quality
110,2022-04-17,6,Autonics Perú,Perú,15,5,18.14,4.8,EXW LIMA,True,True,Medium,1349.03,AUT-PR12-4AO,sensor_inductivo,5,90.7,True,True,95.82,4,Q2,True,Premium Quality
111,2022-04-15,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,22.25,4.0,EXW,False,True,Medium,8838.4,AS-135.CA-DUPL 400X400,filter_cloth_standard,62,1563.13,True,True,79.78,4,Q2,True,Best Price
112,2022-04-09,2,TESTORI LATAM SpA,Chile/Italia,0,10,1050.42,5.0,EXW ITALIA,False,False,Low,7036.47,Válvula Diafragma 150mm PTFE,valve_diaphragm,2,2637.54,True,True,89.5,4,Q2,True,Premium Quality
113,2022-04-11,2,TESTORI LATAM SpA,Chile/Italia,0,10,417.85,5.0,EXW ITALIA,False,False,Low,2358.99,Placa Cerámica 1000x1000,filter_plate_ceramic,39,16730.27,False,True,95.82,4,Q2,True,Premium Quality
114,2022-04-08,2,TESTORI LATAM SpA,Chile/Italia,0,10,1008.11,5.0,EXW ITALIA,False,False,Critical,6442.4,Válvula Diafragma 150mm PTFE,valve_diaphragm,2,2211.45,True,True,89.92,4,Q2,True,Premium Quality
115,2022-04-10,5,Ritherm,Perú,30,7,60.97,4.5,EXW LIMA,False,True,High,1255.37,RIT-MP-300D,pressure_sensor_digital,12,731.65,True,True,89.39,4,Q2,True,Local Supplier
116,2022-04-05,2,TESTORI LATAM SpA,Chile/Italia,0,10,858.82,5.0,EXW ITALIA,False,False,High,5931.7,Válvula Diafragma 150mm PTFE,valve_diaphragm,10,8816.94,False,True,91.41,4,Q2,True,Premium Quality
117,2022-04-13,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,375.03,4.0,EXW,False,True,Medium,7433.39,Válvula Mariposa 150mm,valve_butterfly,8,3357.78,True,True,76.25,4,Q2,True,High Quality
118,2022-04-29,1,AIR SLAID TECIDOS TÉCNICOS LTDA,Brasil,0,30,18.6,4.0,EXW,False,True,Low,4975.57,AS-135.CA-DUPL 400X400,filter_cloth_standard,19,767.74,True,True,79.81,4,Q2,True,Best Price
119,2022-04-14,2,TESTORI LATAM SpA,Chile/Italia,0,10,463.4,5.0,EXW ITALIA,False,False,Low,3992.17,Placa Cerámica 1000x1000,filter_plate_ceramic,24,11488.94,False,True,95.37,4,Q2,True,Premium Quality
120,2022-04-19,3,GWI GROUP LIMITED,China,0,28,20.81,3.5,CIF LIMA,True,True,Medium,3657.08,Filter Press Cloth 1200x1200 set,filter_press_cloth_set,99,2060.15,True,True,69.79,4,Q2,True,Best Price
